Timestamp,Event,Minute,Second,Period
79:33,"UCSD substitution: Oddone, Christina for Celeste, Mika.",79,33,2
79:33,"PLNU substitution: Gerarden, Jacqui for Steinhaus, Sarah.",79,33,2
81:18,"Foul on Kimball, Kelsey.",81,18,2
81:34,"PLNU substitution: Osorio, Fernanda for Kim, Chloe.",81,34,2
81:43,"Shot by PLNU Swanson, Abbi, out top.",81,43,2
82:14,Corner kick [82:14].,82,14,2
83:19,"UCSD substitution: Celeste, Mika for Tang, Lucy.",83,19,2
86:10,"Yellow card on PLNU Teagle, Abbey.",86,10,2
87:17,Offside against UC San Diego.,87,17,2
88:41,"Shot by UCSD Celeste, Mika, out top left.",88,41,2
89:08,"PLNU substitution: Carrell, Rachel for Teagle, Abbey.",89,08,2
89:49,"Shot by PLNU Glaser, Julia, bottom left, saved by Ramos, Angelica.",89,49,2
90:00,End of period [90:00].,90,00,2
